id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
41001-polid-1445-county-41005,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45009,Bernie,False,False,False,Sanders,2016-02-28T01:38:49Z,county,True,P,President,Dem,1445,44201,14,100.0,14,county-41005,Bamberg,False,,,South Carolina,SC,False,False,204,0.104992,False
41001-polid-64569-county-41005,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45009,Willie,False,False,False,Wilson,2016-02-28T01:38:49Z,county,True,P,President,Dem,64569,44220,14,100.0,14,county-41005,Bamberg,False,,,South Carolina,SC,False,False,18,0.009264,False
41001-polid-22603-county-41005,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45009,Martin,False,False,False,O'Malley,2016-02-28T01:38:49Z,county,True,P,President,Dem,22603,44202,14,100.0,14,county-41005,Bamberg,False,,,South Carolina,SC,False,False,6,0.003088,False
41001-polid-1746-county-41006,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45011,Hillary,False,False,False,Clinton,2016-02-28T01:08:05Z,county,True,P,President,Dem,1746,44200,15,100.0,15,county-41006,Barnwell,False,,,South Carolina,SC,False,False,1560,0.874439,True
41001-polid-1445-county-41006,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45011,Bernie,False,False,False,Sanders,2016-02-28T01:08:05Z,county,True,P,President,Dem,1445,44201,15,100.0,15,county-41006,Barnwell,False,,,South Carolina,SC,False,False,209,0.117152,False
41001-polid-64569-county-41006,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45011,Willie,False,False,False,Wilson,2016-02-28T01:08:05Z,county,True,P,President,Dem,64569,44220,15,100.0,15,county-41006,Barnwell,False,,,South Carolina,SC,False,False,10,0.005605,False
41001-polid-22603-county-41006,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45011,Martin,False,False,False,O'Malley,2016-02-28T01:08:05Z,county,True,P,President,Dem,22603,44202,15,100.0,15,county-41006,Barnwell,False,,,South Carolina,SC,False,False,5,0.002803,False
41001-polid-1746-county-41007,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45013,Hillary,False,False,False,Clinton,2016-02-28T02:46:22Z,county,True,P,President,Dem,1746,44200,92,100.0,92,county-41007,Beaufort,False,,,South Carolina,SC,False,False,9945,0.733029,True
41001-polid-1445-county-41007,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45013,Bernie,False,False,False,Sanders,2016-02-28T02:46:22Z,county,True,P,President,Dem,1445,44201,92,100.0,92,county-41007,Beaufort,False,,,South Carolina,SC,False,False,3567,0.262917,False
41001-polid-64569-county-41007,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45013,Willie,False,False,False,Wilson,2016-02-28T02:46:22Z,county,True,P,President,Dem,64569,44220,92,100.0,92,county-41007,Beaufort,False,,,South Carolina,SC,False,False,31,0.002285,False
41001-polid-22603-county-41007,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45013,Martin,False,False,False,O'Malley,2016-02-28T02:46:22Z,county,True,P,President,Dem,22603,44202,92,100.0,92,county-41007,Beaufort,False,,,South Carolina,SC,False,False,24,0.001769,False
41001-polid-1746-county-41010,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45017,Hillary,False,False,False,Clinton,2016-02-28T01:38:49Z,county,True,P,President,Dem,1746,44200,12,100.0,12,county-41010,Calhoun,False,,,South Carolina,SC,False,False,1536,0.860504,True
41001-polid-1445-county-41010,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45017,Bernie,False,False,False,Sanders,2016-02-28T01:38:49Z,county,True,P,President,Dem,1445,44201,12,100.0,12,county-41010,Calhoun,False,,,South Carolina,SC,False,False,241,0.135014,False
41001-polid-64569-county-41010,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45017,Willie,False,False,False,Wilson,2016-02-28T01:38:49Z,county,True,P,President,Dem,64569,44220,12,100.0,12,county-41010,Calhoun,False,,,South Carolina,SC,False,False,4,0.002241,False
41001-polid-22603-county-41010,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45017,Martin,False,False,False,O'Malley,2016-02-28T01:38:49Z,county,True,P,President,Dem,22603,44202,12,100.0,12,county-41010,Calhoun,False,,,South Carolina,SC,False,False,4,0.002241,False
41001-polid-1746-county-41011,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45019,Hillary,False,False,False,Clinton,2016-02-28T02:03:26Z,county,True,P,President,Dem,1746,44200,182,100.0,182,county-41011,Charleston,False,,,South Carolina,SC,False,False,26535,0.660354,True
41001-polid-1445-county-41011,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45019,Bernie,False,False,False,Sanders,2016-02-28T02:03:26Z,county,True,P,President,Dem,1445,44201,182,100.0,182,county-41011,Charleston,False,,,South Carolina,SC,False,False,13420,0.333972,False
